"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"346","Mario Manningham","WR108","","303","","","","","315.0"
"347","Luke Stocker","MIN","5","TE43","","","","","","","297.0"
"348","David Ausberry","TE44","","","","","","","301.0"
"349","Da'Rick Rogers","WR109","","","304","","","","304.0"
"350","Ace Sanders","WR110","","","","","","","309.0"
"351","Nick Novak","K32","","335","","","","","323.5"
"352","Doug Baldwin","WR111","","","319","","","","325.0"
"353","Matt Barkley","ATL","6","QB35","","","315","","","","353.0"
"354","Aldrick Robinson","WR112","","","","","","","317.0"
"355","Tim Tebow","TE45","","","","","","","318.0"
"356","Josh Morgan","WR113","","","","","","","319.0"
"357","Marlon Brown","WR114","","","","","","","320.0"
"358","Dwayne Harris","WR115","","","320","","","","375.5"
"359","Mark Sanchez","QB36","","","","","","","321.0"
"360","Patrick Edwards","DET","9","WR116","","","","","","","323.0"
"361","Chris Beanie Wells","RB102","","323","","","","","351.0"
"362","Devin Hester","WR117","","","","","","","324.0"
"363","Cedric Benson","RB103","","324","","","","","335.0"
"364","Josh Scobee","K33","","","","","","","325.0"
"365","Trevor Graham","WR118","","","","","","","330.0"
"366","Ryan Fitzpatrick","WAS","5","QB37","","","","","","","334.0"
"367","Rian Lindell","K34","","","","","","","335.0"
"368","Tommie Campbell","CB1","","","","","","","336.0"
"369","Garrett Graham","TE46","","336","","","","","347.5"
"370","Chris Ogbonnaya","RB104","","","","","","","337.0"
"371","Ted Ginn Jr.","WR119","","","","","","","342.0"
"372","Lance Kendricks","TE47","","","","","","","344.0"
"373","Chris Givens","WR120","","","","","","","347.0"
"374","Alfonso Smith","RB105","","","","","","","348.0"
"375","Jerome Simpson","WR121","","","","","","","350.0"
"376","Earl Bennett","WR122","","","","","","","352.0"
"377","Charles Clay","TE48","","","","","","","353.0"
"378","Cierre Wood","RB106","","","","","","","354.0"
"379","Kellen Winslow","TE49","","","","","","","361.0"
"380","Harry Douglas","WR123","","","","","","","362.0"
"381","Nick Folk","NE","10","K35","","","","","","","364.0"
"382","Benjamin Watson","TE50","","","","","","","367.0"
"383","Tony Scheffler","TE51","","","","","","","369.0"
"384","Domenik Hixon","WR124","","","","","","","370.0"
"385","Jacoby Ford","WR125","","","","","","","372.0"
"386","Jarrett Boykin","WR126","","","","","","","374.0"
"387","Las Vegas Raiders","DST","","DST31","","","","","","","375.0"
"388","Jahvid Best","RB107","","","","","","","376.0"
"389","Brock Osweiler","QB38","","","","","","","377.0"
"390","Chad Henne","KC","10","QB39","","","","","","","378.0"
"391","Jacksonville Jaguars","DST","9","DST32","","","","","","","380.0"
"392","Kyle Williams","WR127","","","","","","","381.0"
"393","Vance McDonald","TE52","","","","","","","382.0"
"394","Tashard Choice","RB108","","","","","","","383.0"
"395","Jeff Cumberland","TE53","","","","","","","384.0"
"396","Matt Cassel","QB40","","","","","","","385.0"
"397","Kyle Orton","QB41","","","","","","","386.0"
"398","Tom Crabtree","TE54","","","","","","","387.0"
"399","Eddie Royal","WR128","","","","","","","388.0"
"400","Nate Kaeding","K36","","","","","","","389.0"
"401","Trindon Holliday","WR129","","","","","","","390.0"
"402","Travis Benjamin","SF","9","WR130","","","","","","","392.0"
"403","Michael Jenkins","WR131","","","","","","","393.0"
"404","Rex Burkhead","HOU","8","RB109","","","","","","","394.0"
"405","Colt McCoy","ARI","9","QB42","","","","","","","395.0"
"406","Jackie Battle","RB110","","","","","","","396.0"
"407","DeVier Posey","WR132","","","","","","","397.0"
"408","Tarvaris Jackson","QB43","","","","","","","398.0"
"409","Marvin Jones Jr.","JAC","9","WR133","","","","","","","399.0"
"410","Alex Green","RB111","","","","","","","400.0"
"411","Jason Snelling","RB112","","","","","","","401.0"
